product_id,product_name,category,price
P001,Blender 1,Beauty,272.76
P002,Perfume 2,Home,132.09
P003,Water Bottle 3,Home,58.58
P004,Smart Watch 4,Home,220.82
P005,Perfume 5,Home,27.81
P006,Vacuum Cleaner 6,Beauty,59.03
P007,Laptop Stand 7,Home,244.58
P008,Smart Watch 8,Electronics,93.18
P009,USB Cable 9,Clothing,156.62
P010,Yoga Mat 10,Home,48.44
P011,Yoga Mat 11,Home,258.78
P012,Wireless Mouse 12,Electronics,185.11
P013,Perfume 13,Clothing,201.16
P014,Jeans 14,Clothing,85.76
P015,Running Shoes 15,Sports,62.43
P016,Hair Dryer 16,Electronics,109.43
P017,USB Cable 17,Clothing,182.71
P018,Bluetooth Speaker 18,Sports,228.3
P019,Coffee Maker 19,Sports,79.0
P020,Blender 20,Clothing,71.15
P021,Jeans 21,Electronics,196.26
P022,Keyboard 22,Electronics,58.6
P023,Jacket 23,Sports,97.4
P024,Face Cream 24,Clothing,120.14
P025,Jacket 25,Sports,86.16
P026,Hair Dryer 26,Sports,13.44
P027,Blender 27,Sports,206.76
P028,Hair Dryer 28,Electronics,38.24
P029,Face Cream 29,Home,287.29
P030,Coffee Maker 30,Beauty,276.23
P031,Yoga Mat 31,Home,88.39
P032,Keyboard 32,Home,199.76
P033,Jacket 33,Sports,234.21
P034,Running Shoes 34,Beauty,233.44
P035,Hair Dryer 35,Home,206.54
P036,Monitor 36,Home,168.81
P037,Wireless Mouse 37,Electronics,13.47
P038,Keyboard 38,Beauty,40.13
P039,Blender 39,Home,73.63
P040,Water Bottle 40,Home,65.99
P041,Wireless Mouse 41,Beauty,36.66
P042,Smart Watch 42,Clothing,285.64
P043,Keyboard 43,Electronics,35.05
P044,Smart Watch 44,Clothing,119.03
P045,Perfume 45,Clothing,269.84
P046,Monitor 46,Home,95.42
P047,USB Cable 47,Sports,277.58
P048,Yoga Mat 48,Sports,210.74
P049,T Shirt 49,Home,56.97
P050,USB Cable 50,Home,235.36
P051,Jacket 51,Sports,106.47
P052,Laptop Stand 52,Home,287.13
P053,Yoga Mat 53,Clothing,137.77
P054,Vacuum Cleaner 54,Clothing,186.99
P055,Monitor 55,Sports,41.44
P056,Face Cream 56,Sports,73.33
P057,Keyboard 57,Sports,217.47
P058,Keyboard 58,Electronics,31.15
P059,Perfume 59,Home,235.4
P060,Wireless Mouse 60,Sports,53.17
P061,Wireless Mouse 61,Electronics,202.74
P062,Yoga Mat 62,Clothing,213.02
P063,Jacket 63,Beauty,11.07
P064,Vacuum Cleaner 64,Sports,136.46
P065,USB Cable 65,Beauty,75.5
P066,Jacket 66,Sports,45.15
P067,Face Cream 67,Home,106.7
P068,Water Bottle 68,Sports,26.01
P069,USB Cable 69,Home,165.04
P070,T Shirt 70,Electronics,253.94
P071,Water Bottle 71,Clothing,61.22
P072,Laptop Stand 72,Sports,201.61
P073,Water Bottle 73,Sports,269.97
P074,Jeans 74,Sports,34.61
P075,Blender 75,Clothing,50.58
P076,Backpack 76,Electronics,218.72
P077,Perfume 77,Clothing,151.88
P078,USB Cable 78,Beauty,196.59
P079,Vacuum Cleaner 79,Beauty,289.84
P080,Blender 80,Electronics,20.74
